Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:56,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:56,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-32,-22,0,38,1,134,105,100,0
